file_name,caption_1,caption_2,caption_3,caption_4,caption_5
20100402.Brugge.street.04.wav,A group is in a carriage that is being drawn by a horse on a paved road.,A group of people socializing and a horse trotting in the background.,A throng of people are socializing as a horse trots by in the background.,"Several people talking and laughing, with a horse passing along in the background.","Several people were talking and laughing, with a horse is passing by along in the background."
DOOR_sliding_fthrll.wav,A loud foot stomp interrupts the rhythmic use of the old adding machine.,A mechanical device is being rattled loose while making plastic noises and thuds.,An old adding machine clattering and a foot striking against a hard floor.,Someone closing drawers of folders being pushed back.,mechanical device being rattled lightly with plastic noises and thuds.
20110220_river.wav,A boat rises above the large waves while a person yells something.,Background voices were present during the wind furiously and continuously rustled and blew.,It is easy to sleep when a lot of rain from a storm hits the top of a country roof.,People are floating down a river in a plastic boat while talking to each other.,Water running over a waterfall with a frog croaking in the background.
20130723_Rain1.wav,A car honks from the midst of a rainstorm.,A vehicle comes to a stop and idles with clunking sound before multiple honks and yells interfere.,Rain from a rainstorm is hitting surfaces and a car honks,Rain hitting the ground before and after two vehicles honk their horns and a man hollers in the background.,The rain is coming down hard and a horn blows in the distance.
SFX_001.wav,Beautiful pipe organ music is played before trailing off into silence.,It is a peaceful instrumental keyboard melody with bell sounds.,"Pipe organ music, beautifully played then trails off into silence",Unknown musical tones coming from some kind of electric musical instrument.,a dull instrumental keyboard melody with bell sounds
steel water.wav,A person tapping a hollow brass bell indoors.,A person taps a brass bell while inside.,Different type of vessels are beaten with a stick to give different noise,Different type of vessels are beaten with a stick to give different noise effects.,Someone plays music on an metal musical instrument or device.
A swing is squeaking at night. (Ukraine.wav,A high pitched wind instrument is played over and over the notes make a high pitched squeal.,A person plays the wind instrument making sharp shrill sounds terrible to listen to.,"As a bus is moving, someone plays a flute.",Someone was playing flute in a moving bus,The flutist tunes his instrument before beginning to play.
Lively Forest Stream (loop).wav,A river flows and water trickles down the rocks.,"As the river flows, water trickled down the rocks.","Raining really hard, street flooded, it did not look like going to stop.",Water drips slowly an continuously as a video is playing.,Water trickles down the rocks as the river flows.
Bangles put on arm.wav,A crystal and metal big lamp is being hung.,Metal balls hitting each other while they are being dropped into a glass bowl,"Metallic, distinguished objects are being put in place.",Small metal balls are hitting each other while they are being dropped into a glass bowl,a metal object is clashing with other metals.
AMB_Supermarket_BCN.wav,A cashier at a grocery store scanning items.,A grocery store clerk is scanning some items of food.,A grocery store clerk scanning some items of food.,A scanner beeps as items are being run along it.,"At a grocery store, a cashier is scanning items."
Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav,A farm has several oinking hogs in it.,A few pigs are oinking while a child is speaking in the background.,A lot of pigs oinking in the background,Hogs oinking in an enclosure with faint noises of people talking in the background.,Pigs oinking while people chatter in the background.
Anti Air Gun (3 Sounds).wav,"A gun starts shooting continuously, a second and third gun join in after a few seconds.",A single gun being to shoot repeatedly and is shortly followed by a second and third gun.,Pounding slowly then at a solid pace similar to rapid gunfire.,Three people are playing video games and firing machine guns.,different gun shot constantly and another set of gun shot back
City Ambience w_ Car Passing_1-2.wav,A truck drives down a road before fading into the distance.,A truck driving down the road before disappearing.,A vehicle has drove past a quiet environment .,"An engine rumbles, splutters slightly and fades into the distance as it passes.",An engine splutters and rumbles slightly and fades into the distance as it passes.
Goin wee wee.wav,A person noisily uses and then flushes a toilet.,"Someone first noisily uses, then flushes a toilet.",Someone urinated into the water closet and flushed it,Someone was urinating into the toilet with water and then flushed it.,Water slowly drips before moving into large splashes before a giant flush.
Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.wav,A car engine getting louder and tires moving over crunching gravel.,"A car rides down a gravel driveway, gains speed and exits onto the street.","A car riding down a gravel driveway, gains speed and moves onto the street.",A vehicle is maneuvering on gravel and then drives away.,A vehicle maneuvers on gravel before driving away.
Baby crying slowed down.wav,"A creature grunts like human, mumbles as time progresses.",A person is struggling in distress and making noises gasping for air.,A person is struggling in distress and making noises to gasp for air.,Human vocal chords are poorly imitating a farm animal.,Human vocal chords imitate a farm animal poorly.
driving_buying_beer_on_sunday.wav,A guy is speaking with the screaming of a person in the background,A man is talking while looking at his phone and walking to his car.,A man talking and looking at his phone while walking to his car.,Children yelling in the background and a voice complaining in the foreground at a car wash.,In the foreground a voice complains at a car wash and in the background children yell.
pc_mouse.wav,A bored person is tapping and rubbing their fingers on a tabletop.,A person tapping their fingers on desk and cracks their knuckles.,Someone cracks their knuckles after strumming their fingers on a desk.,The flow of the wind and taps on a microphone and a channel being tuned.,wind blowing sound and tapping on microphone and tuning the channel sound.
metro underground ambient noisy transport catalan barcelona minimal tickling glitch.wav,A public transport alerts its passengers and states something.,An airplane speaker tells something to passengers with talking in the background.,An electronic voice makes an announcement to a group of people speaking.,Warning sound and an announcement on public transportation,some people are talking followed by an announcement
hugeSlidingDoorSlamECM800.wav,Somebody hammers wood while another opens and shuts a major sliding entryway.,Someone hammers wood while another opens and closes a big sliding door.,Something knocked the door and it was closed and silenced before the thing knocked it again,Tapping on a door followed by silence for awhile and then an door opening and closing.,tapping the door sound followed by an idle sound and door open and close sound.
Boa Constrictor.wav,A butane fire roars to live and fades out and then fades back into life,A flame from a welding iron is turned on and off.,A person using a hose to clean something.,A welding iron flame is being turned on and then immediately turned off.,Someone cleans a hard surface using a hose.
bohinj_forestFootsteps.wav,A small fire crackling and footsteps of the user in a wooded area.,Birds chirp as footsteps come near then walk far away.,"Footsteps approach, then go away, as birds chirp in the area.","Out in nature, birds singing, steps staring to move on the ground","Out in nature, the birds sing, steps start to move on the ground."
"Uh, Hi, Mom. I Crashed the Car.wav",A man is speaking at a very slow pace.,A man is talking to someone about something.,A man is talking in a nervous manner.,A person speaks but mumbles over their words nervously.,"A person speaks, with a weak cadence to their words and voice."
Busy Coffee Shop.wav,A coffee machine operates as people converse in the background.,A coffee machine preparing coffee while people talk in the background.,A milk shaker filling up is accompanied by various scratching noises,People talk together while another person fills a container with water.,Someone filling a container with water while others are talking.
Water Pour and Drink.wav,"A person fills up a glass with a beverage, then quickly chugs it and breathes heavily","A person fills up a glass with liquid, then quickly gulps it and breathes heavily.",Water is poured into a container and is drunk by a person who pants and continues to chug.,Water is poured into a container and then gulped by someone who pants and continues to chug.,"Liquid is poured into a cup, gulped down the throat of a person, then breathing, more gulping, then more breathing."
outdoors ambient windy wind leaves rustle.wav,A sizzle pan has some items being scooped inside its cooking oil.,Food sizzling in a pan while being cooked on a stove.,Steaks are cooked on a grill and flipped to the other side to cook.,Steaks on a grill and being flipped over to finish cooking.,The sizzling of food cooking on a stove or in a pan.
vacuum power head.wav,A blow dryer running a little loudly and having its ups and downs.,A machine is being ground against another hard object that is moving at variable speeds.,A machine is grinding against another hard object at varying speeds.,An piece of metal is being filed and ground against a spinning blade,The electric saw is being used in the garage.
Buddhist Bells.wav,A bell is rung threes times and the ringing fades away between each ring.,A person plays a triangle and it vibrates the sound.,"Metal instruments are being struck repeatedly, creating a high pitched noise",Metal instruments are struck repeatedly creating a high pitched noise,Someone playing the triangle with vibrations creating sound.
Packaging Paper Pen Scribble.wav,Somebody writing and making a tapping noise in the foreground.,Someone is writing and then lays ink pen down.,Someone rubs and a tapping sound is audible in the foreground.,Someone writes for a while and then sets down their pen.,Something boils against a backdrop of chopping and stirring
kitchen-door.wav,A door creaks open and closes followed by footsteps,A door is opened and it squeaks as a person ambulates.,A person is opening and closing a creaky door.,A person is opening up cupboards to see what is inside.,Someone is opening and closing a locker in a silent environment with a creaking noise.
cd_load_26sedit.wav,A radio is in between stations and playing static.,A radio that is in between stations and playing static.,A radio tuner being moved across static and various weak stations emitting Morse code.,"As a radio tuner is being moved, static and several weak stations sending Morse code are emitted.",a person trying to get a signal on an old radio
dishwasher beep and motor.wav,"A machine started moving stopped, adjusted and continued working","A machine started moving until the worker stopped and adjusted the machine, then continued working.","A person starts a lawnmower, stops it and then starts the lawnmower again.","Someone is operating some industrial machinery before it stalls, and then they restart it.","Someone is operating some industrial machinery before stalling it, and then restarting it."
dryer_long_1.wav,"A hairdryer is blowing, getting a little louder, and continuing.",A machine is continuously in operation as moving motors turn.,A machine with moving motors was continuously working,An audible blow dryer which steams and begins to vent.,Someone using a vacuum and hitting something and continuing to vacuum.
Sugar Packet.wav,A container of pills are shaken back and forth harshly then at a steady beat then fast and harsh.,"Someone crumples up a candy wrapper, bends it so it breaks, and wads it up.",Someone is playing with the plastic cover for a product.,Someone is shaking a sugar packet at varying speeds.,"Candies in a container are shaken back and forth harshly, then in a steady beat, then fast and harsh"
Heavy Rain 1.wav,A Heavy rain storm violently hits the ground.,A heavy rainstorm violently hits the solid ground.,Heavy rain viewed from underneath a shielded area.,Moderate to heavy rainfall with light thunder in the background.,Moderate to heavy rainfall with slight thunder in the background.
Steps Indoor medium soft Shoe Sole accompanying wooden Floor hollow Big Room 5mx10mx6m.wav,A person roams around then they strolls away.,A person walks in shuffles around and then they walk away.,Heavy footsteps walking and scraping across a hard floor.,Many footsteps in a hallway and then a slight pause,footsteps with heavy foot ware on a floor of wood
CivicSI.Accelerating.1.wav,"A motor bike is started, and it revs its engine, before racing past while changing gears.","A motor bike starts, revs its engine and then races past as it changes gears.",A race car taking off from a garage at the racetrack.,A sports cars gears are shifted multiple points in time then navigates towards a street of crushed rock.,a sports car shifting gears four times and then cruising onto a gravel road.
Windshield Wiper.wav,"After vigorous cleaning, water is running and a brush is scrubbing.","Someone cleaning with a spraying tool, then scraping and squeaking.","The man uses the spraying tool to clean, causing the siding to scrape and squeak.",Water is moved with a squeegee and floor is swept.,Water is moved with a squeegee and then the floor is swept.
Pasta bag shuffling.wav,Packing paper is being loudly crunched by a person.,Someone grabbing a bag of potato chips and folding the bag.,Someone grabs a bag of potato chips and folds the bag,Someone opens up a paper bag and puts things inside it.,"Something is being crunched, then, after a pause, the crunching continues."
Oie 01.wav,A duck vigorously squeaking and anther duck joined it.,A goose cawing and stressing its voice and getting a response from other geese.,A bird is squawking and then it breathes hard.,The bird is making a sound and someone is running towards the bird,The goose honked loudly and the other geese cawed a response.
cooking onions.wav,A pan with frying food arranged while a boy talks.,Food fries in a metal skillet being turned over by a metal spatula,Frying or sorting something on the pan along with a boy speaking sound,"Someone is frying food in a metal skillet, using a metal turner.",Someone is frying meat and turning it in the pan and a girl talks in the background.
trainsounds.wav,A faint rumble of machinery is obscured by moving furniture followed by a high pitched squeal.,A strong wind is blowing outside and gusts blow through narrow corridors and against doors and shutters.,A train riding along the tracks making odd noises because it is old.,"An old train is going down the tracks, making strange noises.","Gusts of strong wind blow in from outside, against the doors and shutters and down the narrow corridors."
Creaking and squeaking of old headsets.wav,A person performing a delicate engineering task including operation of a winding mechanism.,A person working on a machine and tightening a ratchet,Someone knock over some item and it snapped.,The plastic package is opened slowly while the stapler staples.,"a plastic package is being slowly opened, a stapler is stapled"
Rain_inside_of_a_Car.wav,It is raining and hailing on the roof top.,The rain is falling steadily and hitting a metal roof.,rain is falling steadily and hitting a metal roof,rain loud failing on a can getting loud and louder.,something being rotated and ground up in a mixer
Crows chattering.wav,A bird squeaks rapidly while another bird in the background gradually does the same.,Birds are chattering and singing and a different bird caws in the background.,"Birds are chirping and singing, while a different bird caws in the background.",Squirrels converse and fight over bird seeds as traffic is audible in the background.,squirrels talking and fighting over bird feed with traffic in the background.
picht-type-writer.wav,A person is typing fast on a typewriter.,"A person moves through the page using a manual typewriter, and a bell rings each time the line is reset.","A person types on a manual typewriter, advancing the page and starting a new line each time the bell rings.",Someone is typing at a typewriter and the bell rings several times and each time the roller is shifted.,Someone typing on a typewriter at a constant rate.
Noise Monster 7.wav,"Animals are roaring, growling and snoring repeatedly with some sound effects applied to the noises.","Mechanical grunting, breathing and roaring with an echo.","Mechanical grunting, breathing and roaring with some echo.",The loud beast snarls and roars at various times.,some sort of large animal roaring and growling
klotsend ad veerpont ii.wav,Bubbles float to the surface of the water as someone plays in the sink.,Bubbles float to the surface of the water as someone plays in the water in the sink.,Someone is washing dishes and sinking bottles in the water.,Someone is washing the dishes and sinking bottles in the water.,Water bubbles escape from objects being dunked in water
landschap3.wav,A person is jogging closer and exhaling with exertion.,Birds are gently chirping in a quiet outdoor setting.,Birds are lightly chirping against a calming sea breeze.,Birds chirp lightly against a calming sea breeze.,The sounds of nature such as birds chirping and an individual coughing in the background.
Summer Ambiance .wav,A few birds chirping during an ominous breezing wind.,A few birds chirping during a threatening blowing wind.,A strong wind blows as birds tweet in the foreground.,A wide variety of birds are chirping and calling as the wind whistles through the enclosure.,The wind howls on as a bird chirps in the foreground.
lakeside birds 2.wav,A river runs in the background while multiple birds makes noises.,"Birds are chirping lightly frequently, then a bird makes a loud siren like chirp.","Birds continually chirp lightly, then a bird creates a loud siren like chirp.",Miscellaneous animals chirping and squealing in a natural habitat.,The tropical rainforest is filled with exotic birds in the background.
"Shopping Mall, ambience.wav",As everyone laughed and talked dishes and silverware were pinging.,Dishes and silverware are pinging and people are laughing and talking.,Machinery and metallic noises drown out the conversation of a few people.,Metallic noise and the rumble of machinery mask a few humans in conversation.,"Out in an large area, plates crashed, people discussing"
rbh train freight by.wav,A approaching train arrives and then without stopping passes by.,"A long train rumbles past a point, wheels clicking on the joints.",A train is approaching and then the train passes by.,A train passes by on its tracks quickly.,Wheels of a train rotate swiftly along the track.
Static buzz_ Jet Take-off.wav,A car tire is losing its air throughout.,The shower is running with nobody standing in it.,The shower running with nobody standing in it.,"Throughout the tire, the car tire is losing its air.",Water under high pressure is forced out of a hose.
squeaky metal swing.wav,A creaky door slowly revolving back and forth.,A door creaks as it slowly revolves back and forth.,A swing being pushed back and fourth and making a loud creaking noise.,A swing being pushed back and fourth is making a loud creaking noise.,Someone is scraping metal against metal back and forth.
feed back.wav,A high screeching tune is playing is with varying pitches.,A ringing and feedback of a electronic device.,A whistle is blowing and hard objects are striking each other close by.,A whistle is tooting and solid objects collide near by.,Someone using an electronic sound machine is generating horrific whistling and screeching noises.
Ferry II.wav,A machine is constantly running as people are talking in the back.,Background noise exists over a group of people that are speaking.,Background noise of a crowd of people talking.,People are engaging in conversation in an very low roar.,a constant machine running and people talking in the back
Plastic Scraping On Wood Floor.wav,Birds or small animals are rustling around in outdoors.,Either squishing soft material among insects or something moving in the forest at night.,Many birds chirping from a distance and none of their voices dominant.,"Water running and gurgling out of a hose, which is crimped and stopping the water from flowing smoothly.",birds or small animals rustling around in an outdoor area
Footdrags Dirt.wav,A person is hiking on a dirt terrain.,Short and gravely footsteps that begin to slow down.,Someone is walking through the dirt at a relaxed pace.,Someone walking through the dirt at a pretty relaxed rate.,The person is hiking on a dirt terrain.
Toy Car.wav,A mechanical whirring resonates with brief pauses of silence,A mechanical whirring resonates with brief pauses of silence in between as time goes on.,A scratchy scraping on a surface occurs repeatedly.,The people play a game as the playing gear whiz across the surface.,the repeating scuff of scrunching on a surface
FOREST-SOUNDS.wav,A group of birds are chirping when they are interrupted by a loud caw.,Birds are chirping and singing and then another bird starts squawking loudly.,"Birds are chirping peacefully, after which a loud bird caws disruptively.",Song birds chirp and a raven approaches cawing soft and then loudly.,Song birds chirp and a raven starts cawing soft and then loudly.
Gas Oven.wav,A person adjusting a gas flame and tinkering in the background.,A person is adjusting a gas flame and tinkering in the background.,A gas torch is ignited with a matchstick.,Someone has turned on the gas on a gas canister and then switched the ignition key to light it.,"Someone has turned on the gas, and switched on the ignition key to light it."
glissando1b.wav,A bell tolls in a vibrating cyclical tone while a scraping occurs.,A cyclical toll of a bell with a slight scraping sound,An affected piano chord is being played repeatedly.,An electronic pitch that changes its volume with a small metal scraping sound,a vibrating beep that gets louder and softer
gym machine.wav,A machine motor runs at varying frequencies while paper or something thin passes through.,Footfalls thump rhythmically on a treadmill at a good pace.,Someone is jogging on a treadmill and is not being very loud.,Someone is running on a treadmill at a good pace and in regular time.,Someone taking a jog on a treadmill and not very loudly.
